Candidate Id,Location,Current Annual Salary,Current Salary Currency ,Current Salary Type,Expected Annual Salary,Expected Salary Currency,Total Experience in years,Current Industry,Current Fuction,Relocation Cities ,Notice Period in days,Current Job Title,Data Source
A7459,Hyderabad,6,INR,ANNUAL,6,INR,3.49,IT | Information Technology and Services,Quality Assurance,,60,QA Analyst,INTERNAL DATABASE
A10008,Noida,8.5,INR,ANNUAL,8.5,INR,5,IT | Information Technology and Services#IT | Computer Networking,"Analytics, Business Intelligence#Design, Creative, User Experience#IT Software",,90,IT Analyst,INTERNAL DATABASE
A11480,Hyderabad,2.3,,ANNUAL,2.3,INR,1.08,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A9797,Gurgaon,25,INR,ANNUAL,25,INR,15,IT | Computer & Network Security#IT | Computer Hardware#IT | Information Technology and Services,Administrative#IT Hardware#IT Software,,60,SR  MANAGER IT,INTERNAL DATABASE
A13667,Hyderabad,,,ANNUAL,,INR,3.03,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A8906,Mumbai,4.5,,ANNUAL,4.5,INR,4.11,"Financial | Banking,IT | Computer Software",IT Software,,,"Programmer, Business Analyst",MONSTER
A9220,Mumbai,11,INR,ANNUAL,11,INR,3.3,IT | Information Technology and Services#Professional Services | Staffing and Recruiting#Professional Services | Human Resources,"Human Resources, Recruitment#Management#IT Software",,30,Talent acquisition and talent management lead in Learning and OD team,INTERNAL DATABASE
A11450,NCR,15.5,,ANNUAL,15.5,INR,3.5,"ITSoftware,Software Services",,,,Senior Software Developer,INDEED.COM
A8918,Indore,,,ANNUAL,,,,IT | Information Technology and Services,,,,"Web Developer,Subject matter expert - web developer,web developer",LINKEDIN
A8854,Mangaluru,4,INR,ANNUAL,4,INR,7.04,"Construction | Engineering, Procurement, Construction",Production#Oil & Gas - specific#Manufacturing,,30,Assistant Production Engineer,INTERNAL DATABASE
A11553,Bengaluru,4.2,,ANNUAL,4.2,INR,3.33,"ITSoftware,Software Services",,,,Java Developer,INDEED.COM
A9288,Lucknow,9.5,INR,ANNUAL,9.5,INR,2.5,Transport | Transportation/Trucking/Railroad#Transport | Warehousing#Manufacturing | Business Supplies and Equipment,"Supply Chain, Logistics#Purchasing#Manufacturing",,15,Regional Logistics Coordinator,INTERNAL DATABASE
A11541,Bengaluru,2.85,,ANNUAL,2.85,INR,1.5,"ITSoftware,Software Services",IT Software,,,Graduate Engineer Trainee,INDEED.COM
A8542,New Delhi,4.2,INR,ANNUAL,4.2,INR,15.68,"FMCG, Consumer | Food & Beverages, Medicine | Pharmaceuticals","Supply Chain, Logistics, Human Resources, Recruitment",,10,Asst. Manager-HR & Admin,INTERNAL DATABASE
A12329,Hyderabad,3.2,,ANNUAL,3.2,INR,2.5,"ITSoftware,Software Services",,,,Software Engineer,INDEED.COM
A11093,Bengaluru,2.8,,ANNUAL,2.8,INR,2.5,"ITSoftware,Software Services",IT Software,,,Software Engineer,INDEED.COM
A13760,Chandigarh,,,ANNUAL,,,,IT | Information Technology and Services,,,,Technical Lead,LINKEDIN
A13835,Delhi,5,,ANNUAL,9,INR,8,"IT | Computer Software#Education | E-Learning#Entertainment, Media | Creative & Design",IT Software,,60,webdesigner,LINKEDIN
A8182,delhi,3,INR,ANNUAL,3,INR,1.21,Leisure | Hospitality,"food production, people management",,90,no title,INTERNAL DATABASE
A11929,Hyderabad,12.3,,ANNUAL,12.3,INR,9,IT | Computer Software,"IT Software,Financial Services, Banking, Investments, Insurance  specific",,,Software Engineer,MONSTERDB
A9898,Noida,5,INR,ANNUAL,5,INR,3,IT | Computer Software#IT | Information Technology and Services,IT Software,,30,Database Support Engineer,INTERNAL DATABASE
A10707,Delhi,6,INR,ANNUAL,6,INR,5,"Construction | Engineering, Procurement, Construction",Engineering,,30,Biomedical Engineer,INTERNAL DATABASE
A8113,Mumbai,24,INR,ANNUAL,24,INR,20.26,"ATM Manufacturing, Secured Logistics Company, Record Management and Information System","FP&A, MIS, General Ledger Accounting",,60,Sr. Manager Finance,INTERNAL DATABASE
A12148,Mumbai,8.5,INR,ANNUAL,8.5,INR,3.5,IT | Computer Software,"IT Software#Engineering#Design, Creative, User Experience",,60,Software Engineer,LINKEDIN
A8349,"Hyderabad, Secunderabad",7.79,,ANNUAL,7.79,INR,6.21,Software Services,IT Software  Software Products & Services,,,Senior Software Engineer,TIMES JOBS
A8629,Bengaluru/Bangalore,20,INR,ANNUAL,20,INR,3.16,"Professional Services | Management Consulting, IT | Information Technology and Services","IT Software, Pre-sales / Technical Sales",,60,Senior Consultant,INTERNAL DATABASE
A11312,Ahmedabad,,,ANNUAL,,INR,2.06,"IT | Internet,Entertainment, Media | Online Media","Marketing,Advertising",,,"Journalism, Fresher",MONSTERDB
A11821,Bengaluru,4.55,,ANNUAL,4.55,INR,3.25,"ITSoftware,Software Services",,,,Senior Software Engineer,INDEED.COM
A8677,Bengaluru/Bangalore,11.5,INR,ANNUAL,11.5,INR,7.13,IT | Information Technology and Services,IT Software,,60,Cloud Systems Consultant II,INTERNAL DATABASE
A7408,Mumbai,6,INR,ANNUAL,6,INR,4.64,"Construction | Building Materials, Ads, PR, Events | Marketing and Advertising","Business Development, Marketing",,10,Junior Associate,LINKEDIN
A10637,Hyderabad,7,INR,ANNUAL,7,INR,4.5,"Construction | Engineering, Procurement, Construction#Energy and Utilities | Power#Energy and Utilities | Solar / Solectric Solutions",Project Management#Project Design#Engineering,,30,Engineer-Project Execution,INTERNAL DATABASE
A8635,Hyderabad,26,INR,ANNUAL,26,INR,8.16,"Consumer | Consumer Electronics, Manufacturing | Tyres, IT | Information Technology and Services","Supply Chain, Logistics, IT Software",,30,Associate Manager,INTERNAL DATABASE
A8912,Hyderabad,10,INR,ANNUAL,10,INR,3.01,IT | Computer Software,IT Software,,60,Developement Engineer,LINKEDIN
A12886,Hyderabad,12,,ANNUAL,15,INR,3,"Agriculture, Dairy | Agriculture","Architecture, Interior Design",,60,QA,DIRECT
A13892,Gurgaon,,,ANNUAL,4.8,INR,4.42,"ITSoftware,Software Services",,,,Web UI Designer,INDEED.COM
A13913,Hyderabad,3.3,,ANNUAL,6.5,INR,3,IT | Computer Software,Engineering#IT Software,,60,software engineer,DIRECT
A11354,Bengaluru,12,,ANNUAL,12,INR,5,"IT | Computer Software,IT | Internet",Sales,,,Branch Manager,MONSTERDB
A11923,,,,ANNUAL,,INR,8.05,IT | Computer Software,"IT Software,Other",,,Software Engineer,MONSTERDB
A8407,"Hyderabad, Secunderabad",8.25,,ANNUAL,8.25,INR,7.21,Others,IT Software  Software Products & Services,"Hyderabad, Secunderabad",,Brand Communications Designer,TIMES JOBS
A13335,Delhi,,,ANNUAL,16,INR,8.05,IT | Computer Software,IT Software,,,Project Leader,MONSTER
A11546,Bengaluru,,,ANNUAL,,,0,"ITSoftware,Software Services",,,,,INDEED.COM
A12210,Pune,6.5,INR,ANNUAL,6.5,INR,2.5,IT | Information Technology and Services#IT | Computer Software#IT | Information Services,"Telecom, ISP#Quality Assurance#IT Software",,60,Software Engineer,DIRECT
A12979,Anywhere in north,,,ANNUAL,3.6,INR,3.17,"ITSoftware,Software Services",,,,Java Developer,INDEED
A10030,New Delhi,5.5,INR,ANNUAL,5.5,INR,9,Financial | Financial Services#IT | Information Technology and Services#IT | Outsourcing/Offshoring,"Financial Services, Banking, Investments, Insurance - specific#Analytics, Business Intelligence#Other",,15,Senio process Associate,INTERNAL DATABASE
A13903,Pune,,,ANNUAL,20,INR,10,Financial | Financial Services,"Human Resources, Recruitment",,90,Consultant,DIRECT
A8881,Bengaluru,20,INR,ANNUAL,20,INR,13.42,"Ads, PR, Events | Public Relations and Communications#IT | Internet#IT | Computer Hardware","Marketing#Export, Import#Telecom, ISP",,15,Manager  International Marketing and Operations,INTERNAL DATABASE
A8592,Mumbai,4.5,INR,ANNUAL,,INR,5,Professional Services | Staffing and Recruiting,"Human Resources, Recruitment",,0,Talent Acquisition Partner,INTERNAL DATABASE
A12454,Bangalore,5,INR,ANNUAL,5,INR,1.5,IT | Computer Software,IT Software,,15,Software Engineer,MONSTER
A10964,Hyderabad,8,INR,ANNUAL,8,INR,2.9,IT | Computer Software,"Analytics, Business Intelligence#IT Software#Quality Assurance",,90,Systems Engineer,INTERNAL DATABASE
A13088,Pune,14,,ANNUAL,18,INR,7,"Agriculture, Dairy | Farming","Customer Service, BPO",,60,TL,DIRECT
A9842,Noida,15,INR,ANNUAL,15,INR,5.9,Other,"Analytics, Business Intelligence",,90,Senior Business Analyst,INTERNAL DATABASE
A8292,"Hyderabad, Secunderabad",9.55,,ANNUAL,9.55,INR,11.21,"Software Services, Internet,Dot com,ISP, IT-Software",IT Software  Software Products & Services,"Hyderabad, Secunderabad",,"Team Lead, Senior Graphics , Web Designer",TIMES JOBS
A10589,Ahmedabad,16,INR,ANNUAL,16,INR,7.5,IT | Computer Software#IT | Information Technology and Services#Professional Services | Management Consulting,Consulting#Project Management#Quality Assurance,,15,Project Delivery Manager,INTERNAL DATABASE
A8003,Hyderabad,6.5,,ANNUAL,6.5,INR,6.29,"IT , Computer Software,Energy and Utilities , Oil & Energy","IT Software,Oil & Gas - specific",,,,MONSTERDB
A9714,Nanded,4.5,INR,ANNUAL,4.5,INR,0,IT | Computer Software#IT | Computer Hardware#IT | Computer & Network Security,Engineering#IT Software#IT Hardware,,90,am fersher,DIRECT
A8711,Hyderabad,,,ANNUAL,,INR,5.11,IT | Computer Software,IT Software,,,,MONSTER
A8830,Bangalore,4,INR,ANNUAL,4,INR,2.54,IT | Computer Software#IT | Information Services#IT | Information Technology and Services,IT Software#IT Hardware,,15,Junior Research Analyst,LINKEDIN
A8670,Bengaluru/Bangalore,14,INR,ANNUAL,14,INR,30.13,"Entertainment, Media | Online Media, Entertainment, Media | Publishing, Entertainment, Media | Newspapers","Writing, Editing, Content",,10,Senior Editor,INTERNAL DATABASE
A14063,Bengaluru,,,ANNUAL,,INR,1,IT | Computer Hardware,"Customer Service, BPO,Customer Service, BPO,Customer Service, BPO,IT Software",,,Fresher,MONSTER
A7929,Hyderabad,4.5,,ANNUAL,4.5,INR,5.37,"IT , Computer Software","Administrative,IT Software",,,,MONSTERDB
A13001,Mumbai,3.3,,ANNUAL,3.8,INR,1,IT | Computer Software#IT | Information Technology and Services#IT | Information Services,IT Software,,0,Associate software engineer,DIRECT
A9680,Delhi,10,INR,ANNUAL,10,INR,6.8,Consumer | Consumer Services#IT | Information Services#Financial | Business and financial operations,"Analytics, Business Intelligence#Management#General Business",,30,Business Analyst,INTERNAL DATABASE
A8725,Hyderabad,6,INR,ANNUAL,6,INR,2.3,"Education | Professional Training & Coaching, IT | Information Technology and Services, Financial | Business and financial operations","Analytics, Business Intelligence, Education, Human Resources, Recruitment",,30,Asst. System Engineer,DIRECT
A13345,Mumbai,,,ANNUAL,,,10,"ITSoftware,Software Services",IT Software,,,Quality Module Lead,INDEED.COM
A12680,Pune,,,ANNUAL,3.6,INR,2.03,"IT | Computer Software,Transport | Maritime","IT Software,Export, Import",,,Software Engineer,MONSTER
A8576,New Delhi,25,INR,ANNUAL,25,INR,7.67,digital marketing,"Analytics, Business Intelligence, campaign management, client mangement",,60,Associate planning director,INTERNAL DATABASE
A11997,Pune,16.5,,ANNUAL,16.5,INR,9.1,"IT | Computer Software,Energy and Utilities | Telecommunications","IT Software,Telecom, ISP",,,Project Leader,MONSTERDB
A11468,Pune,5,INR,ANNUAL,5,INR,3,IT | Information Technology and Services#IT | Computer Software#Energy and Utilities | Power,IT Software#Quality Assurance#Training,,60,Software engineer,DIRECT
A12991,Gurgaon,,,ANNUAL,25,INR,11,IT | Information Technology and Services,"Human Resources, Recruitment",,90,project Manager,DIRECT
A13363,Anywhere in north,,,ANNUAL,2.4,INR,5.5,"Internet,Ecommerce",,,,Team Leader,INDEED.COM
A9517,Chennai,3,INR,ANNUAL,3,INR,4.4,Other,"Customer Service, BPO#Quality Assurance#Financial Services, Banking, Investments, Insurance - specific",,90,Assosiate manager,INTERNAL DATABASE
A8335,"Hyderabad, Secunderabad",6,,ANNUAL,6,INR,6.21,"Internet,Dot com,ISP",IT Software  Software Products & Services,"Hyderabad, Secunderabad",,Ui Developer,TIMES JOBS
A13150,Hyderabad,,,ANNUAL,,INR,3.11,"Financial | Banking,Consumer | Retail","Finance, Accounts,Human Resources, Recruitment",,,Financial,MONSTERDB
A11508,Bengaluru,7.9,,ANNUAL,7.9,INR,3.17,"ITSoftware,Software Services",,,,Senior System Software Engineer (P1),INDEED.COM
A10193,Mumbai,6,INR,ANNUAL,6,INR,0,Financial | Investment Management#Financial | Business and financial operations#Financial | Capital Markets,"Analytics, Business Intelligence#Engineering#Financial Services, Banking, Investments, Insurance - specific",,30,Not Applicable,LINKEDIN
A11007,Bengaluru,3.9,,ANNUAL,3.9,INR,1.01,IT | Computer Software,IT Software,,,Programmer,MONSTER
A13284,Gurgaon,,,ANNUAL,8.15,INR,7,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A7390,Kolkata,5.9,INR,ANNUAL,5.9,INR,4.78,Energy and Utilities | Solar / Solectric Solutions,"Project Management, Project Design",,10,Project Engineer,INTERNAL DATABASE
A12983,Kanpur,1.56,,ANNUAL,7.2,INR,1.1,IT | Computer Software#IT | Information Technology and Services#IT | Information Services,Engineering#IT Software#Research,,30,Software Developer,DIRECT
A8071,Kota,7.2,INR,ANNUAL,7.2,INR,6.28,"CA Firm, Agriculture, Dairy | Dairy, Education | Professional Training & Coaching",Complete Accounts And Finance And Taxation Matters,,10,Audit And Tax Manager,INTERNAL DATABASE
A11163,Bengaluru,10.5,,ANNUAL,10.5,INR,6.04,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A10497,Navi Mumbai,13,INR,ANNUAL,13,INR,8,"Construction | Engineering, Procurement, Construction#Manufacturing | Mechanical or Industrial Engineering#Manufacturing | Production",Engineering#Management#Manufacturing,,30,"Project Engineer,Junior Project Co Ordinator,Junior Research Fellow,...more",INTERNAL DATABASE
A9697,Gurgaon,6.4,INR,ANNUAL,6.4,INR,4,Medicine | Pharmaceuticals,"Analytics, Business Intelligence",,90,Senior Associate,INTERNAL DATABASE
A9768,Kolkata,23,INR,ANNUAL,23,INR,21,IT | Information Technology and Services,IT Software,,30,Senior Manager,INTERNAL DATABASE
A13055,Bengaluru,,,ANNUAL,3.6,INR,2.02,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A9966,Mumbai,24,INR,ANNUAL,24,INR,16,Financial | Insurance#IT | Information Technology and Services#Financial | Financial Services,IT Software#Program Management#Project Management,,30,Scrum Master,INTERNAL DATABASE
A10753,Jaipur,6.5,INR,ANNUAL,6.5,INR,6,"Energy and Utilities | Power#Construction | Engineering, Procurement, Construction#Manufacturing | Production",Engineering#Project Management#Production,,15,Mechanical Maintenance Engineer,INTERNAL DATABASE
A12785,Bhubaneshwar,,,ANNUAL,,INR,3.08,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A13551,Gurgaon,12.5,,ANNUAL,17,INR,5.2,IT | Information Technology and Services,"Design, Creative, User Experience",,0,UI UX Designer,INDEED
A12188,Hyderabad,4.5,,ANNUAL,4.5,INR,4,IT | Computer Software,"IT Software,Health Care Provider  specific",,,Software Test Engineer,MONSTERDB
A8597,New Delhi,13,INR,ANNUAL,13,INR,5.17,"Business Intelligence, Professional Services | Research, Professional Services | Management Consulting","Analytics, Business Intelligence",,60,Senior Analyst,INTERNAL DATABASE
A12638,Bangalore,,,ANNUAL,8,INR,4,IT | Computer Software#IT | Information Services#IT | Information Technology and Services,IT Software#Health Care Provider - specific#Consulting,,15,associate it consultant,INDEED.COM
A8894,kisumu,90,USD,ANNUAL,90,USD,1.01,Financial | Banking#Financial | Insurance#IT | Computer Software,"IT Software#Other#Financial Services, Banking, Investments, Insurance - specific",,15,underwriter,DIRECT
A13033,Noida,5,,ANNUAL,10,INR,2.5,IT | Information Technology and Services,"IT Software#Engineering#Analytics, Business Intelligence",,30,Software Development Engineer,DIRECT
A12272,Mumbai,3.4,,ANNUAL,3.4,INR,2.42,"ITSoftware,Software Services",,,,Java Developer,INDEED.COM
A9946,Mumbai,32,INR,ANNUAL,32,INR,22,Financial | Banking#IT | Information Technology and Services#IT | Computer Software,"IT Software#IT Hardware#Financial Services, Banking, Investments, Insurance - specific",,15,Manager Application and Infrastructure,INTERNAL DATABASE
A13920,Mumbai,,,ANNUAL,1.2,INR,4,Transport | Import and Export,Administrative,,0,Administrative Assistant,LINKEDIN
A9149,Gurgaon,40,INR,ANNUAL,40,INR,10,IT | Information Technology and Services#IT | Computer Software,Consulting#Business Development#IT Software,,15,Team Manager,INTERNAL DATABASE
A9098,Mumbai,6,INR,ANNUAL,6,INR,9,"Ads, PR, Events | Events Services#Consumer | Health, Wellness and Fitness#Leisure | Leisure, Travel & Tourism","Human Resources, Recruitment",,15,Manager HR,INTERNAL DATABASE
A11646,Cochin,4,,ANNUAL,4,INR,2.67,"ITSoftware,Software Services",IT Software,,,Senior Systems Engineer,INDEED.COM
A13922,Jaipur,7,,ANNUAL,10,INR,3,IT | Computer Software#IT | Computer Networking,IT Software#Project Design#Project Management,,30,Senior Software Engineer,LINKEDIN
A12444,Bengaluru,7.5,INR,ANNUAL,7.5,INR,2.5,Education | E-Learning#Financial | Banking#IT | Computer Software,IT Software,,60,Senior Software Engineer,INDEED.COM
A9568,Delhi,8.5,INR,ANNUAL,8.5,INR,11,Consumer | Consumer Electronics#Consumer | Retail#Other,"Purchasing#Supply Chain, Logistics#Other",,30,Manager Operations and Procurement,INTERNAL DATABASE
A10874,Bangalore,7.1,INR,ANNUAL,7.1,INR,3,"Ads, PR, Events | Public Relations and Communications#IT | Computer Software#Manufacturing | Business Supplies and Equipment",IT Software#Product Management#Other,,30,Programmer,MONSTER
A12339,Mumbai,18,INR,ANNUAL,18,INR,7.4,Financial | Capital Markets#IT | Computer Software#IT | Information Technology and Services,IT Software,,15,Software Engineer,MONSTER
A11831,Bengaluru,17.7,,ANNUAL,17.7,USD,9,"ITSoftware,Software Services",,,,Technical Lead,INDEED.COM
A12165,Bengaluru,3.9,,ANNUAL,3.9,USD,2.83,"ITSoftware,Software Services",,,,PROGRAMMER ANALYST,INDEED.COM
A9306,Mumbai,8,INR,ANNUAL,8,INR,8,Consumer | Consumer Electronics#Medicine | Biotechnology#Medicine | Pharmaceuticals,"Human Resources, Recruitment#Consulting#Business Development",,15,recruitment manager,INTERNAL DATABASE
A14298,Bangalore,4,INR,ANNUAL,4,INR,2.2,IT | Information Technology and Services#IT | Internet#IT | Computer Software,IT Software,,60,ui developer,DIRECT
A13338,Gurgaon,,,ANNUAL,11,INR,7,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A13119,Hyderabad,,,ANNUAL,,INR,3.01,"Financial | Banking,IT | Computer Software","IT Software,Financial Services, Banking, Investments, Insurance  specific",,,Technical Support Engineer,MONSTERDB
A9931,Mumbai,2,INR,ANNUAL,2,INR,0,Financial | Business and financial operations#Financial | Financial Services#Financial | Capital Markets,"Analytics, Business Intelligence#Accounting, Auditing",,15,finance advisor,INTERNAL DATABASE
A12434,Bengaluru,3.6,,ANNUAL,3.6,INR,2.33,"ITSoftware,Software Services",,,,Associate Java Developer,INDEED.COM
A12822,Hyderabad,7.6,,ANNUAL,11,INR,4,IT | Computer Software,IT Software,,60,Software Engineer,INDEED
A14214,Bangalore,3.5,INR,ANNUAL,5,INR,2.4,IT | Computer Software#IT | Information Technology and Services#IT | Information Services,IT Software#IT Hardware,,30,Software Engineer  UI,MONSTER
A10789,Hyderabad,15,INR,ANNUAL,15,INR,9.6,Energy and Utilities | Renewables & Environment,Project Management#Quality Assurance#Project Design,,30,"Quality Auditor,Assistant Manager Quality Assurance,Production Engineer",INTERNAL DATABASE
A12072,Pune,10,INR,ANNUAL,10,INR,4,IT | Computer Software,"IT Software#Architecture, Interior Design",,90,Senior Systems Engineer,INDEED.COM
A9707,Delhi,,,ANNUAL,,INR,4.09,IT | Computer Software,"IT Software,Financial Services, Banking, Investments, Insurance  specific",,,"Programmer, Business analyst",DIRECT
A12411,NCR,4.8,,ANNUAL,4.8,INR,1.5,"ITSoftware,Software Services",IT Software,,,Software Engineer,INDEED.COM
A10115,Gurgaon,25,INR,ANNUAL,25,INR,13,IT | Information Technology and Services,IT Software,,90,"Project Manager, Quality Assurance - Manager",INTERNAL DATABASE
A13555,Faridabad,13.5,,ANNUAL,15,INR,9,"Ads, PR, Events | Marketing and Advertising#Entertainment, Media | Creative & Design#Entertainment, Media | Fine Art","Design, Creative, User Experience#Marketing#Project Management",,15,Design Head,INDEED
A12948,Pune,0.84,,ANNUAL,1.8,INR,0.6,IT | Information Technology and Services#IT | Computer Software#IT | Information Services,IT Software,,0,Trainee Java Developer,DIRECT
A12606,Pune,,,ANNUAL,3.5,INR,1.5,"ITSoftware,Software Services",,,,Senior Software Developer,INDEED.COM
A7649,Bengaluru/Bangalore,20,INR,ANNUAL,20,INR,10.4,"IT | Information Technology and Services, Education | E-Learning, Agriculture, Dairy | Farming","Analytics, Business Intelligence, Project Management, Business Development",,30,Director - Projects,INTERNAL DATABASE
A14317,Gurgaon,11.5,INR,ANNUAL,15,INR,8,IT | Information Services#IT | Information Technology and Services#IT | Computer Software,IT Software,,60,Senior Associate,LINKEDIN
A10074,Mumbai,6.5,INR,ANNUAL,6.5,INR,4.2,Construction | Civil Engineering#Financial | Accounting#Professional Services | Management Consulting,"Accounting, Auditing#Analytics, Business Intelligence#Financial Services, Banking, Investments, Insurance - specific",,15,Assistant Manager,INTERNAL DATABASE
A10529,Dhenkanal,8,INR,ANNUAL,8,INR,8,Construction | Construction#Energy and Utilities | Power#Energy and Utilities | Utilities,Administrative#Distribution#Project Management,,15,project manager,INTERNAL DATABASE
A11481,Bangalore,7,INR,ANNUAL,7,INR,2.5,IT | Computer Software#IT | Information Technology and Services,IT Software,,15,Senior Software Engineer,INDEED.COM
A9783,Hyderabad,25,INR,ANNUAL,25,INR,14,Financial | Banking,IT Software,,30,Technology Manager,INTERNAL DATABASE
A13626,Hyderabad,,,ANNUAL,3.6,INR,2.11,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A8744,Allahabad,6.5,INR,ANNUAL,6.5,INR,8.06,Consumer | Food & Beverages#Consumer | Retail#Consumer | Wine and Spirits,Distribution#Manufacturing#Marketing,,30,Asst sales manager,INTERNAL DATABASE
A12713,Mumbai,,,ANNUAL,11.5,INR,2.17,"Aviation , Aerospace Firms",IT Software,,,Software Developer,INDEED.COM
A13015,Hyderabad,,,ANNUAL,,,5,"ITSoftware,Software Services",,,,TAG -Specialist,MONSTERDB
A8470,Jabalpur,30,USD,ANNUAL,30,USD,17.19,Marketing & Business Development,Marketing & Business Development,,30,Director Partner,INTERNAL DATABASE
A9848,Jaipur,6.5,INR,ANNUAL,6.5,INR,6,"Agriculture, Dairy | Dairy#Ads, PR, Events | Marketing and Advertising#Financial | Banking","Administrative#Business Development#Financial Services, Banking, Investments, Insurance - specific",,15,Manager Finance,INTERNAL DATABASE
A10632,Mumbai,5,INR,ANNUAL,5,INR,4.6,"Construction | Engineering, Procurement, Construction#Manufacturing | Electrical/Electronic Manufacturing#Construction | Construction",Electrical Solutions Design / Consulting#Project Design#Project Management,,15,Assistant Engineer Electrical,INTERNAL DATABASE
A9956,Delhi,12,INR,ANNUAL,12,INR,11,IT | Internet#IT | Information Technology and Services#IT | Information Services,Project Management#Consulting#Program Management,,30,Project Manager,INTERNAL DATABASE
A10389,Mumbai,9,INR,ANNUAL,9,INR,8,Consumer | Sporting Goods#Financial | Business and financial operations,"Consulting#Finance, Accounts#Analytics, Business Intelligence",,30,"GM - Accounts, Manager - Financial Planning , Budgeting",INTERNAL DATABASE
A12733,Bengaluru,,,ANNUAL,,INR,1.08,"ITSoftware,Software Services",IT Software,,,Web Developer,INDEED.COM
A9627,Mumbai,5,INR,ANNUAL,5,INR,2,IT | Computer Software#IT | Outsourcing/Offshoring#IT | Information Technology and Services,"Finance, Accounts#Consulting#Management",,90,Assistant System Engineer,INTERNAL DATABASE
A12878,Mumbai,6,,ANNUAL,7.2,INR,12,IT | Computer Software,Business Development#Health Care Provider - specific#IT Software,,0,vice president Business Development,DIRECT
A14353,lucknow uttar pradesh,3.2,INR,ANNUAL,5,INR,4.2,Property | Real Estate#Public Sector | Program Development,Public Relations#Engineering#Management,,30,Senior Web Designer,DIRECT
A11016,Bengaluru,9.65,,ANNUAL,9.65,INR,4.5,"ITSoftware,Software Services",,,,Senior System Analyst,INDEED.COM
A11550,Bengaluru,4.1,,ANNUAL,4.1,INR,2.33,Retail,IT Software,,,Project Engineer,INDEED.COM
A12110,Mumbai,3.35,,ANNUAL,3.35,INR,1.67,"ITSoftware,Software Services",,,,Programmer Analyst,INDEED.COM
A10000,Chennai,6.5,INR,ANNUAL,6.5,INR,9,Financial | Banking#Financial | Business and financial operations,"Financial Services, Banking, Investments, Insurance - specific",,90,Senior Analyst,INTERNAL DATABASE
A12415,Bengaluru,4,,ANNUAL,4,INR,1.83,"ITSoftware,Software Services",,,,Systems Engineer,INDEED.COM
A8084,Pune,15,INR,ANNUAL,15,INR,6.28,"Agriculture, Dairy | Fertilizer Pesticides","Accounting, Auditing, Finance, Accounts, taxation",,10,Senior Manager Finance & Accounts,INTERNAL DATABASE
A11912,Bengaluru,10.5,,ANNUAL,10.5,INR,9.06,"IT | Computer Software,Energy and Utilities | Telecommunications","IT Software,Telecom, ISP",,,Team Leader,MONSTERDB
A11571,Noida,,,ANNUAL,,,2.58,"ITSoftware,Software Services",IT Software,,,Java Developer,INDEED.COM
A12052,Bengaluru,2,,ANNUAL,2,USD,1,"ITSoftware,Software Services",,,,Java J2EE  Developer,INDEED.COM
A14160,Hyderabad,15,INR,ANNUAL,20,INR,7.1,IT | Computer Software#IT | Information Technology and Services#IT | Information Services,IT Software#Project Management#Project Design,,90,Senior Analyst,DIRECT
A8278,"Hyderabad, Secunderabad",3.05,,ANNUAL,3.05,INR,2.21,"Software Services, Internet,Dot com,ISP, IT-Software",IT Software  Software Products & Services,"Hyderabad, Secunderabad,Anywhere in South India,Anywhere in India",,Associate Engineer,TIMES JOBS
A11736,Ahmadnagar,,,ANNUAL,,INR,2.5,"ITSoftware,Software Services",,,,Software Developer,INDEED.COM
A9623,Mumbai,2,INR,ANNUAL,2,INR,0,Professional Services | Research#Transport | Logistics and Supply Chain#Other,"Analytics, Business Intelligence#Research#Quality Assurance",,15,Statistics,INTERNAL DATABASE
A11723,Bangalore,9,INR,ANNUAL,9,INR,2,IT | Computer Software,IT Software,,60,Software Engineer,INDEED.COM
A10296,Delhi,16,INR,ANNUAL,16,INR,2.5,"IT | Internet#Consumer | Retail#Ads, PR, Events | Marketing and Advertising","Analytics, Business Intelligence#Strategy, Planning#Product Management",,30,Data Scientist,INTERNAL DATABASE
A12540,Mumbai,,,ANNUAL,,INR,10,IT | Computer Software,IT Software,,,Team Leader,MONSTER
A9373,Patna,3,INR,ANNUAL,3,INR,3,Professional Services | Executive Office#Other#Transport | Logistics and Supply Chain,"Supply Chain, Logistics#Analytics, Business Intelligence#Other",,15,Sales Operation Coordinator at Tata Motors,INTERNAL DATABASE
A7484,Bengaluru/Bangalore,7,INR,ANNUAL,7,INR,4.69,"Financial | Capital Markets, Financial | Investment Banking, Financial | Banking",Quality Assurance,,30,Quality Engineer,INTERNAL DATABASE
A13514,India,,,ANNUAL,,,,Transport | Automotive,,,,Quality Assurance Engineer,LINKEDIN
A10924,Bengaluru,4.1,,ANNUAL,4.1,INR,2.25,"ITSoftware,Software Services",,,,Senior System Engineer,INDEED.COM
